code,name,family,employees,avg_salary
6913,Hazardous Waste Disposing,Warehousing and Stock Handling Family,17,58344
9960,Oiler,Vessel Jobs Family (excluded From the Federal Wage System),17,49495
1599,Mathematics and Statistics Student Trainee,Mathematics and Statistics Group,17,54892
3401,Miscellaneous Machine Tool Work,Machine Tool Work Family,17,90903
4416,Platemaking,Printing Family,17,114057
5413,Fuel Distribution System Operating,Industrial Equipment Operation Family,17,77186
6641,Ordnance Equipment Mechanic,Armament Work Family,16,82288
0799,Veterinary Student Trainee,Veterinary Medical Science Group,16,57958
5423,Sandblasting,Industrial Equipment Operation Family,16,66963
7006,Preservation Servicing,Packing and Processing Family,16,66778
6912,Materials Examining and Identifying,Warehousing and Stock Handling Family,15,61027
4717,Boat Building and Repairing,General Maintenance and Operations Work Family,15,72335
9968,Chief Steward,Vessel Jobs Family (excluded From the Federal Wage System),15,68994
2801,Misc Electrical Installation & Maintenance,Electrical Installation and Maintenance Family,15,121906
4449,Electrolytic Intaglio Platemaking,Printing Family,15,141229
0029,Environmental Protection Assistant,Miscellaneous Occupations Group,14,66757
5801,Misc Transportation/mobile Equipmt Maintne,Transportation/mobile Equipment Maintenance Family,14,98909
1020,Illustrating,Information and Arts Group,14,86904
9928,Ordinary Seaman,Vessel Jobs Family (excluded From the Federal Wage System),13,42409
1725,Public Health Educator,Education Group,13,105386
1380,Forest Products Technology,Physical Sciences Group,13,134507
1107,Property Disposal Clerical and Technician,Business and Industry Group,12,64696
2131,Freight Rate,Transportation Group,11,67364
9920,Boatswain,Vessel Jobs Family (excluded From the Federal Wage System),11,76699
5318,Lock and Dam Repairing,Industrial Equipment Maintenance Family,10,117922
4714,Model Making,General Maintenance and Operations Work Family,10,88900
8602,Aircraft Engine Mechanic,Engine Overhaul Family,10,91736
3712,Heat Treating,Metal Processing Family,10,77878
5704,Fork Lift Operating,Transportation/mobile Equipment Operation Family,9,67473
9923,Boatswain's Mate,Vessel Jobs Family (excluded From the Federal Wage System),9,60014
5220,Shipwright,Miscellaneous Occupations Family,9,81947
6910,Materials Expediting,Warehousing and Stock Handling Family,8,60580
0017,Explosives Safety,Miscellaneous Occupations Group,8,136893
4604,Wood Working,Wood Work Family,8,68415
0136,International Cooperation,"Social Science, Psychology, and Welfare Group",8,170248
1321,Metallurgy,Physical Sciences Group,8,167316
0184,Sociology,"Social Science, Psychology, and Welfare Group",7,135111
3605,Plastering,Structural and Finishing Work Family,7,71113
3727,Buffing and Polishing,Metal Processing Family,7,81641
9971,Chief Cook,Vessel Jobs Family (excluded From the Federal Wage System),6,58342
5201,Miscellaneous Occupations,Miscellaneous Occupations Family,6,92475
1221,Patent Adviser,"Copyright, Patent, and Trademark Group",6,154700
2501,Misc Wire Communca Equipmt Install & Maint,Wire Communications Equipment Installation and Maintenance Family,6,135905
0698,Environmental Health Technician,"Medical, Hospital, Dental, and Public Health Group",6,72875
5313,Elevator Mechanic,Industrial Equipment Maintenance Family,6,80495
1384,Textile Technology,Physical Sciences Group,6,126447
1202,Patent Technician,"Copyright, Patent, and Trademark Group",5,94713
9965,Wiper,Vessel Jobs Family (excluded From the Federal Wage System),5,42010
0642,Nuclear Medicine Technician,"Medical, Hospital, Dental, and Public Health Group",5,106502
3705,Non-destructive Testing,Metal Processing Family,5,97968
0313,Work Unit Supervising,"General Administrative, Clerical, and Office Services Group",5,90549
9902,Master,Vessel Jobs Family (excluded From the Federal Wage System),4,126032
1899,Investigation Student Trainee,Investigation Group,4,52320
0302,Messenger,"General Administrative, Clerical, and Office Services Group",4,40464
4745,Research Laboratory Mechanic,General Maintenance and Operations Work Family,4,86647
3106,Upholstering,Fabric and Leather Work Family,4,88536
0322,Clerk-typist,"General Administrative, Clerical, and Office Services Group",4,48237
1099,Information and Arts Student Trainee,Information and Arts Group,4,63198
2608,Electronic Digital Computer Mechanic,Electronic Equipment Installation and Maintenance Family,4,93701
8862,Aircraft Attending,Aircraft Overhaul Family,4,64843
5788,Deckhand,Transportation/mobile Equipment Operation Family,4,63862
2602,Electronic Measurement Equipment Mechanic,Electronic Equipment Installation and Maintenance Family,4,163318
2032,Packaging,Supply Group,4,107340
5806,Mobile Equipment Servicing,Transportation/mobile Equipment Maintenance Family,4,55410
3606,Roofing,Structural and Finishing Work Family,4,80172
5876,Electromotive Equipment Mechanic,Transportation/mobile Equipment Maintenance Family,3,87132
0062,Clothing Design,Miscellaneous Occupations Group,3,154554
0394,Communications Clerical,"General Administrative, Clerical, and Office Services Group",3,60506
9905,First Officer,Vessel Jobs Family (excluded From the Federal Wage System),3,84943
3601,Miscellaneous Structural & Finishing Work,Structural and Finishing Work Family,3,94054
5737,Locomotive Engineering,Transportation/mobile Equipment Operation Family,3,58561
3725,Battery Repairing,Metal Processing Family,3,71542
6901,Misc Warehousing and Stock Handling,Warehousing and Stock Handling Family,3,72648
3301,Miscellaneous Instrument Work,Instrument Work Family,3,85233
1046,Language Clerical,Information and Arts Group,2,45396
5738,Railroad Maintenance Vehicle Operating,Transportation/mobile Equipment Operation Family,2,76134
1051,Music Specialist,Information and Arts Group,2,102573
4840,Tool and Equipment Repairing,General Equipment Maintenance Family,2,73254
5323,Oiling and Greasing,Industrial Equipment Maintenance Family,2,70343
1894,Customs Entry and Liquidating,Investigation Group,2,113233
9944,Electronics Technician,Vessel Jobs Family (excluded From the Federal Wage System),2,89968
1056,Art Specialist,Information and Arts Group,2,61298
3604,Tile Setting,Structural and Finishing Work Family,2,97192
1889,Import Compliance Series,Investigation Group,2,125065
6914,Store Working,Warehousing and Stock Handling Family,2,50714
7603,Barbering,Personal Services Family,1,0
3378,Precision Measurement Equipment Calibrating,Instrument Work Family,1,84043
5002,Farming,Plant and Animal Work Family,1,70374
8601,Miscellaneous Engine Overhaul,Engine Overhaul Family,1,62714
3101,Misc Fabric and Leather Work,Fabric and Leather Work Family,1,78429
3802,Metal Forging,Metal Work Family,1,75549
7402,Baking,Food Preparation and Serving Family,1,63987
3513,Coin/currency Checking,General Services and Support Work Family,1,110569
3809,Mobile Equipment Metal Mechanic,Metal Work Family,1,95000
1541,Cryptanalysis,Mathematics and Statistics Group,1,156755
4201,Miscellaneous Plumbing and Pipefitting,Plumbing and Pipefitting Family,1,148636
9916,Master-mate (fishing Vessel),Vessel Jobs Family (excluded From the Federal Wage System),1,95398
1999,Quality Inspection Student Trainee,"Quality Assurance, Inspection, and Grading Group",1,40528
